number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
87,0.8217993079584776,2026-07-07 17:43:11.647721,2026-07-07 17:43:12.796319,0 days 00:00:01.148598,logistic,0.0005,"(10,)",1000,COMPLETE
88,0.8183391003460208,2026-07-07 17:43:12.796319,2026-07-07 17:43:12.938117,0 days 00:00:00.141798,relu,0.0001,"(10,)",200,COMPLETE
89,0.8217993079584776,2026-07-07 17:43:12.938117,2026-07-07 17:43:14.040965,0 days 00:00:01.102848,logistic,0.0005,"(10,)",1000,COMPLETE
90,0.8183391003460208,2026-07-07 17:43:14.040965,2026-07-07 17:43:14.456463,0 days 00:00:00.415498,relu,0.0001,"(5,)",1000,COMPLETE
91,0.8217993079584776,2026-07-07 17:43:14.456463,2026-07-07 17:43:14.954305,0 days 00:00:00.497842,relu,0.0005,"(10,)",1000,COMPLETE
92,0.8217993079584776,2026-07-07 17:43:14.954305,2026-07-07 17:43:15.449412,0 days 00:00:00.495107,relu,0.0005,"(10,)",1000,COMPLETE
93,0.8217993079584776,2026-07-07 17:43:15.449412,2026-07-07 17:43:15.999806,0 days 00:00:00.550394,relu,0.0005,"(10,)",1000,COMPLETE
94,0.8217993079584776,2026-07-07 17:43:15.999806,2026-07-07 17:43:16.494881,0 days 00:00:00.495075,relu,0.0005,"(10,)",1000,COMPLETE
95,0.7975778546712803,2026-07-07 17:43:16.494881,2026-07-07 17:43:17.187934,0 days 00:00:00.693053,tanh,0.0005,"(10,)",1000,COMPLETE
96,0.8217993079584776,2026-07-07 17:43:17.187934,2026-07-07 17:43:18.328682,0 days 00:00:01.140748,logistic,0.0005,"(10,)",1000,COMPLETE
97,0.8217993079584776,2026-07-07 17:43:18.328682,2026-07-07 17:43:18.870672,0 days 00:00:00.541990,relu,0.0001,"(10,)",1000,COMPLETE
98,0.8217993079584776,2026-07-07 17:43:18.870672,2026-07-07 17:43:20.002879,0 days 00:00:01.132207,logistic,0.0005,"(10,)",1000,COMPLETE
99,0.8217993079584776,2026-07-07 17:43:20.002879,2026-07-07 17:43:20.544353,0 days 00:00:00.541474,relu,0.0001,"(10,)",1000,COMPLETE
100,0.7993079584775087,2026-07-07 17:43:20.544353,2026-07-07 17:43:20.767776,0 days 00:00:00.223423,logistic,0.0005,"(10,)",200,COMPLETE
