number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
159,0.8888888888888888,2026-07-09 14:00:09.163814,2026-07-09 14:00:09.259755,0 days 00:00:00.095941,tanh,0.0001,"(10,)",1000,COMPLETE
160,0.8888888888888888,2026-07-09 14:00:09.259755,2026-07-09 14:00:09.355548,0 days 00:00:00.095793,tanh,0.0001,"(10,)",1000,COMPLETE
161,0.8888888888888888,2026-07-09 14:00:09.355548,2026-07-09 14:00:09.451185,0 days 00:00:00.095637,tanh,0.0001,"(10,)",1000,COMPLETE
162,0.8888888888888888,2026-07-09 14:00:09.451185,2026-07-09 14:00:09.547349,0 days 00:00:00.096164,tanh,0.0001,"(10,)",1000,COMPLETE
163,0.8888888888888888,2026-07-09 14:00:09.547349,2026-07-09 14:00:09.643412,0 days 00:00:00.096063,tanh,0.0001,"(10,)",1000,COMPLETE
164,0.8888888888888888,2026-07-09 14:00:09.643412,2026-07-09 14:00:09.739668,0 days 00:00:00.096256,tanh,0.0001,"(10,)",1000,COMPLETE
165,0.8888888888888888,2026-07-09 14:00:09.739668,2026-07-09 14:00:09.835526,0 days 00:00:00.095858,tanh,0.0001,"(10,)",1000,COMPLETE
166,0.8888888888888888,2026-07-09 14:00:09.835526,2026-07-09 14:00:09.931520,0 days 00:00:00.095994,tanh,0.0001,"(10,)",1000,COMPLETE
167,0.8148148148148148,2026-07-09 14:00:09.931520,2026-07-09 14:00:10.011854,0 days 00:00:00.080334,tanh,0.0001,"(5,)",1000,COMPLETE
168,0.8888888888888888,2026-07-09 14:00:10.011854,2026-07-09 14:00:10.108058,0 days 00:00:00.096204,tanh,0.0001,"(10,)",1000,COMPLETE
169,0.8888888888888888,2026-07-09 14:00:10.108058,2026-07-09 14:00:10.203630,0 days 00:00:00.095572,tanh,0.0001,"(10,)",1000,COMPLETE
