number,value,datetime_start,datetime_complete,duration,params_booster,params_learning_rate,params_max_delta_step,params_min_child_weight,params_random_state,state
120,0.7165869619934558,2026-07-13 19:15:08.397975,2026-07-13 19:15:08.425270,0 days 00:00:00.027295,gblinear,0.1,0,1,42,COMPLETE
121,0.8089604832620186,2026-07-13 19:15:08.425270,2026-07-13 19:15:08.488588,0 days 00:00:00.063318,gbtree,0.1,0,1,42,COMPLETE
122,0.8089604832620186,2026-07-13 19:15:08.488588,2026-07-13 19:15:08.557724,0 days 00:00:00.069136,gbtree,0.1,0,1,42,COMPLETE
123,0.8089604832620186,2026-07-13 19:15:08.557724,2026-07-13 19:15:08.624327,0 days 00:00:00.066603,gbtree,0.1,0,1,42,COMPLETE
124,0.8089604832620186,2026-07-13 19:15:08.624327,2026-07-13 19:15:08.688515,0 days 00:00:00.064188,gbtree,0.1,0,1,42,COMPLETE
125,0.8089604832620186,2026-07-13 19:15:08.688515,2026-07-13 19:15:08.753921,0 days 00:00:00.065406,gbtree,0.1,0,1,42,COMPLETE
126,0.8089604832620186,2026-07-13 19:15:08.755923,2026-07-13 19:15:10.103677,0 days 00:00:01.347754,dart,0.1,0,1,42,COMPLETE
127,0.8089604832620186,2026-07-13 19:15:10.103677,2026-07-13 19:15:10.175518,0 days 00:00:00.071841,gbtree,0.1,0,1,42,COMPLETE
128,0.8089604832620186,2026-07-13 19:15:10.175518,2026-07-13 19:15:11.480580,0 days 00:00:01.305062,dart,0.1,0,1,42,COMPLETE
129,0.7993959224767179,2026-07-13 19:15:11.480580,2026-07-13 19:15:12.845595,0 days 00:00:01.365015,dart,0.05,0,1,42,COMPLETE
130,0.8089604832620186,2026-07-13 19:15:12.845595,2026-07-13 19:15:12.925602,0 days 00:00:00.080007,gbtree,0.1,0,1,42,COMPLETE
131,0.8089604832620186,2026-07-13 19:15:12.925602,2026-07-13 19:15:14.280097,0 days 00:00:01.354495,dart,0.1,0,1,42,COMPLETE
132,0.8089604832620186,2026-07-13 19:15:14.280097,2026-07-13 19:15:15.574768,0 days 00:00:01.294671,dart,0.1,0,1,42,COMPLETE
133,0.8089604832620186,2026-07-13 19:15:15.574768,2026-07-13 19:15:16.857618,0 days 00:00:01.282850,dart,0.1,0,1,42,COMPLETE
134,0.8089604832620186,2026-07-13 19:15:16.859620,2026-07-13 19:15:18.158599,0 days 00:00:01.298979,dart,0.1,0,1,42,COMPLETE
135,0.8089604832620186,2026-07-13 19:15:18.160601,2026-07-13 19:15:19.472118,0 days 00:00:01.311517,dart,0.1,0,1,42,COMPLETE
136,0.8089604832620186,2026-07-13 19:15:19.472118,2026-07-13 19:15:19.537278,0 days 00:00:00.065160,gbtree,0.1,0,1,42,COMPLETE
137,0.8089604832620186,2026-07-13 19:15:19.537278,2026-07-13 19:15:20.791801,0 days 00:00:01.254523,dart,0.1,0,1,42,COMPLETE
138,0.8089604832620186,2026-07-13 19:15:20.791801,2026-07-13 19:15:20.856814,0 days 00:00:00.065013,gbtree,0.1,0,1,42,COMPLETE
139,0.7165869619934558,2026-07-13 19:15:20.858816,2026-07-13 19:15:20.884342,0 days 00:00:00.025526,gblinear,0.1,0,1,42,COMPLETE
140,0.8089604832620186,2026-07-13 19:15:20.886344,2026-07-13 19:15:22.141507,0 days 00:00:01.255163,dart,0.1,0,1,42,COMPLETE
141,0.8089604832620186,2026-07-13 19:15:22.141507,2026-07-13 19:15:22.210379,0 days 00:00:00.068872,gbtree,0.1,0,1,42,COMPLETE
142,0.8089604832620186,2026-07-13 19:15:22.210379,2026-07-13 19:15:22.279622,0 days 00:00:00.069243,gbtree,0.1,0,1,42,COMPLETE
143,0.8089604832620186,2026-07-13 19:15:22.279622,2026-07-13 19:15:22.344237,0 days 00:00:00.064615,gbtree,0.1,0,1,42,COMPLETE
144,0.8089604832620186,2026-07-13 19:15:22.344237,2026-07-13 19:15:22.409035,0 days 00:00:00.064798,gbtree,0.1,0,1,42,COMPLETE
145,0.8089604832620186,2026-07-13 19:15:22.409035,2026-07-13 19:15:22.475798,0 days 00:00:00.066763,gbtree,0.1,0,1,42,COMPLETE
146,0.8089604832620186,2026-07-13 19:15:22.475798,2026-07-13 19:15:23.744409,0 days 00:00:01.268611,dart,0.1,0,1,42,COMPLETE
147,0.8089604832620186,2026-07-13 19:15:23.744409,2026-07-13 19:15:23.807771,0 days 00:00:00.063362,gbtree,0.1,0,1,42,COMPLETE
148,0.8089604832620186,2026-07-13 19:15:23.809773,2026-07-13 19:15:25.088526,0 days 00:00:01.278753,dart,0.1,0,1,42,COMPLETE
149,0.8089604832620186,2026-07-13 19:15:25.088526,2026-07-13 19:15:26.318200,0 days 00:00:01.229674,dart,0.1,0,1,42,COMPLETE
150,0.7993959224767179,2026-07-13 19:15:26.318200,2026-07-13 19:15:26.389463,0 days 00:00:00.071263,gbtree,0.05,0,1,42,COMPLETE
151,0.8089604832620186,2026-07-13 19:15:26.389463,2026-07-13 19:15:26.455835,0 days 00:00:00.066372,gbtree,0.1,0,1,42,COMPLETE
152,0.8089604832620186,2026-07-13 19:15:26.455835,2026-07-13 19:15:26.521137,0 days 00:00:00.065302,gbtree,0.1,0,1,42,COMPLETE
153,0.8089604832620186,2026-07-13 19:15:26.521137,2026-07-13 19:15:26.584812,0 days 00:00:00.063675,gbtree,0.1,0,1,42,COMPLETE
154,0.8089604832620186,2026-07-13 19:15:26.584812,2026-07-13 19:15:26.649617,0 days 00:00:00.064805,gbtree,0.1,0,1,42,COMPLETE
155,0.8089604832620186,2026-07-13 19:15:26.650913,2026-07-13 19:15:26.716212,0 days 00:00:00.065299,gbtree,0.1,0,1,42,COMPLETE
156,0.8089604832620186,2026-07-13 19:15:26.716212,2026-07-13 19:15:28.007203,0 days 00:00:01.290991,dart,0.1,0,1,42,COMPLETE
